rest_name,rating,pro_offer,offer,del_time,category,cost_for_one,recent_orders_count
Yumlane Pizza,3.9,,40% OFF,28 min,"Pizza, Desserts, Pasta, Beverages, Ice Cream",₹150 for one,200+ orders placed from here recently
JR Cakes & Bakes,4.1,,20% OFF,40 min,"Bakery, Desserts, Shake",₹150 for one,2025+ orders placed from here recently
SR Kokarakko,4.0,,10% OFF,30 min,"Biryani, Fast Food",₹150 for one,225+ orders placed from here recently
The Good Bowl,4.0,Pro extra 10% OFF,40% OFF,42 min,"North Indian, Asian, Biryani, Shake",₹150 for one,375+ orders placed from here recently
Big Fat Burger,4.1,,50% OFF,43 min,"Burger, Sandwich, Wraps, Fast Food, Desserts, Ice Cream, Beverages, Shake",₹150 for one,625+ orders placed from here recently
Vijay Chettinad Mess,3.9,,10% OFF,38 min,Biryani,₹150 for one,250+ orders placed from here recently
Garrison Tavern,3.4,,50% OFF,49 min,"Lebanese, Chinese, Arabian",₹150 for one,1150+ orders placed from here recently
Burger Tree,4.2,,,50 min,"Fast Food, Burger, Sandwich, Desserts, Beverages, Shake",₹200 for one,1050+ orders placed from here recently
CakeZone,3.9,Pro extra 10% OFF,60% OFF,50 min,"Bakery, Desserts",₹200 for one,825+ orders placed from here recently
Yari,4.1,,10% OFF,44 min,"North Indian, Chinese, Street Food, Fast Food, Beverages, Shake",₹200 for one,1075+ orders placed from here recently
The Biryani Life,3.3,Pro extra 10% OFF,40% OFF,36 min,"Biryani, North Indian",₹200 for one,225+ orders placed from here recently
A To Z Palamudir Nilayam,4.2,,Flat 20% OFF,22 min,"Salad, Beverages, Shake",₹200 for one,275+ orders placed from here recently
Lakshmi Mess,4.0,,30% OFF,46 min,"South Indian, Chinese, Biryani",₹200 for one,575+ orders placed from here recently
Al Maas Biriyani House,3.9,,40% OFF,40 min,Biryani,₹200 for one,500+ orders placed from here recently
Raj Bhavan's Lunchbox,3.7,,50% OFF,38 min,"North Indian, South Indian, Chinese, Kebab, Biryani",₹200 for one,500+ orders placed from here recently
Shree Aboorvaas Pure Veg Restaurant,3.9,,20% OFF,40 min,"South Indian, North Indian, Chinese, Fast Food, Street Food",₹200 for one,350+ orders placed from here recently
Thambiyannan Biriyani Hotel,3.5,Pro extra 25% OFF,20% OFF,33 min,"Biryani, South Indian",₹200 for one,625+ orders placed from here recently
Thepan Tiffin Stall,4.1,,10% OFF,42 min,South Indian,₹200 for one,350+ orders placed from here recently
Live Cakes,4.2,,20% OFF,43 min,"Bakery, Fast Food, Desserts",₹200 for one,475+ orders placed from here recently
Mr Kolambu,4.1,,,37 min,South Indian,₹100 for one,200+ orders placed from here recently
Boom Cafe,3.6,,50% OFF,41 min,"Cafe, Fast Food, Beverages",₹100 for one,450+ orders placed from here recently
Jeep BBQ,3.6,,50% OFF,53 min,"BBQ, Fast Food, Sandwich, Burger",₹100 for one,525+ orders placed from here recently
Fort View Multicusine Restaurant,4.2,,10% OFF,36 min,"South Indian, Biryani, Chinese",₹100 for one,150+ orders placed from here recently
The London Shakes,3.7,Pro extra 30% OFF,40% OFF,53 min,"Beverages, Fast Food",₹100 for one,300+ orders placed from here recently
IMI Biriyani Hut,3.9,,50% OFF,37 min,"South Indian, Biryani",₹100 for one,725+ orders placed from here recently
Hotel Sri Madurai Meenakshi,4.0,,30% OFF,53 min,"Chettinad, Chinese, South Indian",₹100 for one,275+ orders placed from here recently
Velan Kaappi,3.9,Pro extra 30% OFF,50% OFF,36 min,"Beverages, Tea, Coffee",₹100 for one,975+ orders placed from here recently
Hidden Fork,4.0,,10% OFF,60 min,"Burger, Sandwich, Fast Food, Pizza, Beverages, Shake",₹100 for one,550+ orders placed from here recently
Bamboo - Pan Asian,4.3,,10% OFF,46 min,Chinese,₹100 for one,825+ orders placed from here recently
Just Bake,4.4,,60% OFF,36 min,"Bakery, Desserts",₹100 for one,525+ orders placed from here recently
Side Dish Factory,3.6,,50% OFF,41 min,"Chinese, Fast Food",₹100 for one,525+ orders placed from here recently
Oven Fresh,4.0,,20% OFF,42 min,"Bakery, Desserts",₹400 for one,375+ orders placed from here recently
Original Nellai Periya Lala Corner Sweets,4.0,,,24 min,"Mithai, Street Food",₹400 for one,
Hotel Hari's,4.1,,10% OFF,44 min,"South Indian, Chinese",₹400 for one,625+ orders placed from here recently
Four Cups Fusion Veg Dining,3.7,Pro extra 20% OFF,50% OFF,42 min,"North Indian, Chinese, South Indian, Shake",₹400 for one,425+ orders placed from here recently
Gharwala Zaika,3.6,,30% OFF,56 min,"North Indian, Beverages",₹400 for one,450+ orders placed from here recently
Oceana Hotel,3.4,,,47 min,"North Indian, Chinese, South Indian, BBQ, Seafood, Biryani, Shake",₹400 for one,350+ orders placed from here recently
Famous Jigarthanda,4.3,,30% OFF,40 min,Beverages,₹400 for one,200+ orders placed from here recently
Just Bake,4.5,,60% OFF,33 min,"Bakery, Desserts, Fast Food",₹400 for one,525+ orders placed from here recently
Famous Biryani House,4.3,,50% OFF,24 min,Biryani,₹400 for one,300+ orders placed from here recently
AB's - Absolute Barbecue,3.2,Pro extra 10% OFF,60% OFF,48 min,"North Indian, BBQ, Mediterranean",₹400 for one,275+ orders placed from here recently
Shree Kulfi,4.7,,,36 min,"Ice Cream, Desserts",₹400 for one,125+ orders placed from here recently
Thinaiyamuthu Millet Restaurant,3.3,,20% OFF,41 min,South Indian,₹400 for one,475+ orders placed from here recently
Chai n Gupshup,3.9,Pro extra 25% OFF,20% OFF,41 min,"Street Food, Fast Food, Sandwich",₹100 for one,700+ orders placed from here recently
Kolapasi,3.9,,40% OFF,40 min,"South Indian, Biryani, North Indian",₹100 for one,550+ orders placed from here recently
Sweet Truth - Cake and Desserts,4.2,Pro extra 10% OFF,40% OFF,39 min,"Bakery, Desserts, Cafe",₹100 for one,350+ orders placed from here recently
Suchow Chinese Restaurant,4.1,,,48 min,"Chinese, Seafood",₹100 for one,500+ orders placed from here recently
Peking,3.9,,,44 min,"Chinese, Fast Food, Seafood",₹100 for one,175+ orders placed from here recently
Hotel Shri Chola,3.5,Pro extra 25% OFF,Flat 20% OFF,40 min,"South Indian, Chinese, North Indian",₹100 for one,300+ orders placed from here recently
Kovai Angatha Briyani,3.8,,Flat 10% OFF,36 min,"South Indian, Chinese, Biryani",₹100 for one,125+ orders placed from here recently
Famous Jigarthanda,3.9,,40% OFF,37 min,"Ice Cream, Beverages",₹100 for one,225+ orders placed from here recently
SK Supercook,3.8,,,37 min,"North Indian, Mughlai, Biryani, Chinese, South Indian",₹100 for one,225+ orders placed from here recently
Hotel Annalakshmi,4.1,,20% OFF,39 min,"Chettinad, South Indian, Chinese, North Indian",₹100 for one,725+ orders placed from here recently
3 Monkey's Cafe,4.2,,20% OFF,58 min,"Beverages, Fast Food, Shake",₹100 for one,325+ orders placed from here recently
Momolicious,4.0,,50% OFF,55 min,"Chinese, Momos, Fast Food, Beverages, Shake",₹100 for one,1425+ orders placed from here recently
Big Fat Burger,4.0,,50% OFF,31 min,"Fast Food, Burger, Sandwich, Momos, Shake",₹150 for one,500+ orders placed from here recently
Acshayaa Homely Variety Meals,3.5,,,44 min,"Chinese, Tamil, Kebab",₹150 for one,
Fox And Crow,3.5,,40% OFF,47 min,"Mexican, Fast Food, Desserts, Beverages, Italian",₹150 for one,350+ orders placed from here recently
AHM Multicuisine Restaurant,4.3,,40% OFF,50 min,"North Indian, South Indian, Chinese, Beverages, Shake",₹150 for one,200+ orders placed from here recently
The Cascade Restaurant,3.9,,,44 min,"Chinese, Momos, Seafood",₹150 for one,675+ orders placed from here recently
Mani Mess,3.8,,Flat 20% OFF,32 min,South Indian,₹150 for one,350+ orders placed from here recently
Fb Cakes,4.2,Pro extra 20% OFF,60% OFF,36 min,Bakery,₹150 for one,350+ orders placed from here recently
China Valley Chinese Restaurant,3.7,Pro extra 15% OFF,50% OFF,40 min,"Chinese, Seafood",₹150 for one,1675+ orders placed from here recently
Fresh Bakes,4.2,Pro extra 20% OFF,60% OFF,35 min,"Bakery, Desserts",₹150 for one,400+ orders placed from here recently
Elai Parotta,4.4,,50% OFF,31 min,North Indian,₹150 for one,175+ orders placed from here recently
Intervals,4.1,,10% OFF,67 min,"Fast Food, Burger, Sandwich, Beverages",₹150 for one,200+ orders placed from here recently
King Kong Biryani,New,,50% OFF,38 min,"Biryani, South Indian",₹150 for one,200+ orders placed from here recently
Cakes N Creams,4.3,,10% OFF,50 min,"Bakery, Fast Food, Shake",₹100 for one,100+ orders placed from here recently
Belly's Thick Shake,4.4,,20% OFF,42 min,"Beverages, Shake",₹100 for one,300+ orders placed from here recently
Mr. Milkshakes,3.1,,30% OFF,42 min,"Beverages, Fast Food, Shake",₹100 for one,375+ orders placed from here recently
Fruit Shop On Greams Road,4.6,,,40 min,"Beverages, Desserts, Sandwich, Shake",₹100 for one,925+ orders placed from here recently
Cafe Coffee Day,3.6,,60% OFF,46 min,"Coffee, Fast Food, Desserts, Beverages",₹100 for one,150+ orders placed from here recently
Baskin Robbins,4.3,,Flat 15% OFF,38 min,"Ice Cream, Desserts, Beverages, Shake",₹100 for one,475+ orders placed from here recently
Tapriwala - The Contemporary Tea Cafe,4.1,,10% OFF,52 min,"Fast Food, Sandwich, Street Food, Tea, Beverages, Shake",₹100 for one,925+ orders placed from here recently
Siruvani Hotel - Veg & Non Veg,4.1,,,35 min,South Indian,₹100 for one,400+ orders placed from here recently
Browse N Joy,3.8,,10% OFF,43 min,"Fast Food, Shake",₹100 for one,225+ orders placed from here recently
Nani's Kitchen,3.6,,40% OFF,49 min,"South Indian, Biryani",₹100 for one,175+ orders placed from here recently
Sri Kamatchi Pattukottai Mess,3.2,,Flat 20% OFF,34 min,South Indian,₹100 for one,150+ orders placed from here recently
Kovai Pazhamudhir Nilayam,4.2,,,45 min,"Beverages, Juices, Shake",₹100 for one,250+ orders placed from here recently
Refuel,4.2,,20% OFF,52 min,"Fast Food, Beverages, Shake",₹100 for one,450+ orders placed from here recently
Mr Kovai Chettinadu Restaurant,3.6,,30% OFF,52 min,"Chinese, Chettinad, South Indian, Biryani, Seafood",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Thozha Restaurant,3.6,,50% OFF,45 min,"South Indian, North Indian, Chinese, Fast Food",₹100 for one,375+ orders placed from here recently
Rock Stone Ice Cream Factory,4.0,,40% OFF,29 min,"Desserts, Ice Cream, Beverages",₹100 for one,475+ orders placed from here recently
Dawn Coffee Shop,3.4,,40% OFF,46 min,"Beverages, Shake",₹100 for one,300+ orders placed from here recently
Shivanjali Cafe,4.3,,,48 min,Malaysian,₹100 for one,200+ orders placed from here recently
Siraj Biriyani,3.4,,Pro extra 25% OFF,42 min,"Biryani, South Indian, Chinese",₹100 for one,Follows all Max Safety measures to ensure your food is safe
FOODVILLE,3.4,,60% OFF,53 min,"Mexican, Fast Food, Beverages",₹100 for one,375+ orders placed from here recently
Hot Cheese Pizza,-,,30% OFF,46 min,"Pizza, Fast Food, Beverages",₹100 for one,
The Hungry Helpers,4.0,,20% OFF,46 min,"Fast Food, Burger, Momos, Sandwich, Wraps, Seafood, Beverages, Shake",₹100 for one,300+ orders placed from here recently
Grillland,3.1,,25% OFF,56 min,"BBQ, Lebanese, Sandwich, Momos, Fast Food, Ice Cream, Beverages, Shake",₹100 for one,75+ orders placed from here recently
Le'andra,4.2,,10% OFF,52 min,"Fast Food, Shake",₹100 for one,850+ orders placed from here recently
Firangi Bake,4.2,Pro extra 10% OFF,40% OFF,59 min,"Italian, Mexican, Fast Food",₹250 for one,200+ orders placed from here recently
Cream Centre,3.9,,30% OFF,48 min,"North Indian, Chinese, Italian, Mexican, Shake",₹250 for one,550+ orders placed from here recently
Burger Bro,3.4,Pro extra 25% OFF,40% OFF,47 min,"Burger, Arabian, Fast Food, Street Food, Shake",₹250 for one,75+ orders placed from here recently
Queen India Biryani Corner,-,,10% OFF,33 min,Biryani,₹250 for one,
Superstar Pizza,4.0,,40% OFF,38 min,"Pizza, Burger, Sandwich, Continental, Fast Food, Beverages, Desserts",₹250 for one,400+ orders placed from here recently
Hotel Nalan,3.9,,30% OFF,39 min,South Indian,₹250 for one,325+ orders placed from here recently
Ashoka Kitchen,3.8,,10% OFF,62 min,South Indian,₹250 for one,175+ orders placed from here recently
Kites Cafe,3.7,Pro extra 25% OFF,40% OFF,45 min,"Italian, Fast Food, Healthy Food, Beverages, Shake",₹250 for one,275+ orders placed from here recently
Hotel Annalakshmi,4.0,,20% OFF,28 min,"South Indian, Chinese, Biryani",₹250 for one,100+ orders placed from here recently
Caramel Bakes,4.2,,10% OFF,37 min,"Bakery, Fast Food, Shake",₹250 for one,175+ orders placed from here recently
Café CakeBee,4.1,,30% OFF,49 min,"Italian, Fast Food, Healthy Food, Desserts, Beverages, Pasta, Shake",₹250 for one,550+ orders placed from here recently
Tiffin House,4.0,,,32 min,South Indian,₹250 for one,425+ orders placed from here recently
Selvamani Sweets,3.8,,10% OFF,40 min,"Mithai, Street Food",₹150 for one,125+ orders placed from here recently
Aryaas,4.6,,,23 min,"South Indian, Chinese",₹150 for one,75+ orders placed from here recently
Cakes by Chocolates,4.6,,,24 min,"Bakery, Desserts",₹150 for one,475+ orders placed from here recently
Madurai Jigarthanda,4.2,,,32 min,"Beverages, Healthy Food",₹150 for one,50+ orders placed from here recently
Murugan Tiffin House,4.1,,40% OFF,39 min,"South Indian, Street Food",₹150 for one,575+ orders placed from here recently
The Lassi Corner,3.3,,30% OFF,39 min,"Beverages, Ice Cream, Fast Food, Desserts, Shake",₹150 for one,100+ orders placed from here recently
Gustovita,4.7,,30% OFF,40 min,"Ice Cream, Desserts",₹150 for one,50+ orders placed from here recently
IDC Kitchen,4.1,,20% OFF,41 min,South Indian,₹150 for one,1075+ orders placed from here recently
Dil Se,3.5,,10% OFF,47 min,"North Indian, Chinese, Fast Food, Beverages, Street Food, Shake",₹150 for one,125+ orders placed from here recently
Suna Pana 007,3.4,,30% OFF,39 min,"Chinese, North Indian",₹150 for one,125+ orders placed from here recently
Sri Balaji Homely Mess,-,,,36 min,"South Indian, Seafood, Andhra, Mughlai",₹150 for one,
Sai Brindhavan,4.1,,,39 min,South Indian,₹150 for one,425+ orders placed from here recently
The Hungry Hut,4.2,,,33 min,"Fast Food, Beverages, Burger, Sandwich, Juices, Shake",₹100 for one,100+ orders placed from here recently
Hotel Aryaas,3.0,,,45 min,"Chinese, South Indian",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Orignal Nellai Periya Lala Corner Sweets,4.0,,,20 min,"Mithai, Desserts",₹100 for one,75+ orders placed from here recently
Rashi Sandwich Corner,4.3,,,41 min,"Fast Food, Sandwich, Beverages",₹100 for one,200+ orders placed from here recently
Big Belly Deli,4.4,,,48 min,"Fast Food, Sandwich, Desserts, Beverages, Shake",₹100 for one,350+ orders placed from here recently
Urban Treats,3.3,,Flat 50% OFF,53 min,"Biryani, South Indian",₹100 for one,
Rice N Spice,3.9,,30% OFF,30 min,"North Indian, South Indian, Chinese",₹100 for one,100+ orders placed from here recently
Easan Bakes,3.9,,20% OFF,46 min,"Bakery, Desserts, Chinese, Juices, Beverages",₹100 for one,550+ orders placed from here recently
Bhatija's Kitchen,3.5,,,49 min,"Chinese, North Indian, Salad, Fast Food, Street Food",₹100 for one,200+ orders placed from here recently
Olive n' Basil,3.6,,30% OFF,49 min,"Italian, Pizza, Continental, Shake",₹100 for one,50+ orders placed from here recently
Balle Balle,3.9,,10% OFF,50 min,"Chinese, North Indian, Kebab, Seafood, Mughlai, Desserts, Beverages, Shake",₹100 for one,325+ orders placed from here recently
Dosa Darbar,3.7,,40% OFF,27 min,"South Indian, Chinese",₹100 for one,150+ orders placed from here recently
That's Y Food,4.0,,,47 min,"North Indian, Biryani, Italian, Mughlai, Desserts, Beverages",₹350 for one,300+ orders placed from here recently
Nin Hao Chinese Restaurant,3.8,,50% OFF,52 min,"Chinese, Rolls, Momos, Mughlai, Seafood",₹350 for one,500+ orders placed from here recently
Waffles And Cream,3.7,,20% OFF,62 min,"Ice Cream, Desserts",₹350 for one,50+ orders placed from here recently
Khan Saheb Grills And Rolls,3.6,,,44 min,"North Indian, Mughlai, Rolls, Biryani",₹350 for one,650+ orders placed from here recently
Roll Over Ice Creams,4.0,,20% OFF,39 min,"Ice Cream, Bakery, Beverages, Desserts, Fast Food, Shake",₹350 for one,50+ orders placed from here recently
Easwari Chinese Fast Food,3.6,,30% OFF,46 min,Chinese,₹350 for one,350+ orders placed from here recently
Frozen Bottle,3.3,Pro extra 20% OFF,30% OFF,34 min,"Beverages, Desserts, Ice Cream, Shake",₹350 for one,75+ orders placed from here recently
Cake & Cafe,3.7,,30% OFF,42 min,"Bakery, Fast Food, Beverages, Shake",₹350 for one,100+ orders placed from here recently
Blenders Inc.,4.2,,30% OFF,42 min,"Beverages, Desserts, Fast Food, Waffle, Shake",₹350 for one,250+ orders placed from here recently
KR Bakes,3.7,,,41 min,"Chinese, Biryani, North Indian",₹350 for one,50+ orders placed from here recently
Sree Annapoorna Sweets & Snacks,4.2,,,36 min,"Mithai, Street Food, Desserts",₹350 for one,125+ orders placed from here recently
Rolling Dough Cafe,4.2,,20% OFF,34 min,"Continental, American, Italian, Fast Food, Desserts, Beverages",₹350 for one,250+ orders placed from here recently
Cookie Man,4.4,,40% OFF,39 min,"Bakery, Desserts, Shake",₹100 for one,100+ orders placed from here recently
ChipMi Foods,-,,,45 min,"Chinese, North Indian, Fast Food",₹100 for one,
Annapoorana Tiffen Center,4.0,,30% OFF,39 min,South Indian,₹100 for one,125+ orders placed from here recently
Dainty's Afresh,4.0,,,45 min,"Bakery, Desserts, Fast Food, Sandwich",₹100 for one,225+ orders placed from here recently
Jacket Potatoes - English Foodbar,3.8,,20% OFF,49 min,"Lebanese, Fast Food, Shake",₹100 for one,100+ orders placed from here recently
Madurai Vilakkuthoon Hanifa Jigarthanda,3.8,,10% OFF,29 min,"Beverages, Desserts, Ice Cream",₹100 for one,125+ orders placed from here recently
Kulfistan,3.9,,10% OFF,40 min,"Ice Cream, Beverages",₹100 for one,75+ orders placed from here recently
KR Bakes Restaurant,3.5,,10% OFF,27 min,"North Indian, South Indian",₹100 for one,150+ orders placed from here recently
Kebabq,4.0,,10% OFF,41 min,"Kebab, Shake",₹100 for one,225+ orders placed from here recently
Cafe Totaram,4.0,,,52 min,"Fast Food, Beverages, Desserts, Shake",₹100 for one,325+ orders placed from here recently
SLAY Coffee,3.8,,60% OFF,30 min,"Coffee, Beverages, Desserts, Ice Cream, Shake",₹100 for one,150+ orders placed from here recently
Noruks,-,,,32 min,"Mithai, Street Food, Shake",₹100 for one,
Azhagar Mess,4.4,,Flat 20% OFF,29 min,South Indian,₹50 for one,100+ orders placed from here recently
Fresh Fusion,3.6,,10% OFF,52 min,"Juices, Beverages, Shake",₹50 for one,
Bocs Pizza,2.9,,,58 min,"Pizza, Fast Food",₹50 for one,
Zamorin Cafe,3.9,Pro extra 15% OFF,Flat 10% OFF,51 min,"Chinese, North Indian, Seafood, South Indian, Biryani",₹50 for one,Follows all Max Safety measures to ensure your food is safe
Charminar Biryani,-,,,54 min,Biryani,₹50 for one,Follows all Max Safety measures to ensure your food is safe
Call For Cake,4.3,,,42 min,Bakery,₹50 for one,
La Mensa Ethnic Italian,3.0,,30% OFF,51 min,"Italian, Pizza",₹50 for one,50+ orders placed from here recently
Hotel Kovai Paradise,-,,50% OFF,45 min,"South Indian, Biryani, Chinese",₹50 for one,
B2B The Fried Chicken,4.0,,40% OFF,44 min,"Burger, Fast Food, Beverages, Shake",₹50 for one,
The French Door Cafe & Restaurant,4.1,,,58 min,"Continental, North Indian, French, Beverages, Desserts, Shake",₹50 for one,75+ orders placed from here recently
Ocean's Lounge,2.6,,,50 min,"Seafood, South Indian, Chinese, Fast Food, Desserts, Beverages, Shake",₹50 for one,Restaurant partner follows WHO protocol
Sree Annapoorna Sweets & Savouries,4.0,,,30 min,"Mithai, Fast Food",₹50 for one,100+ orders placed from here recently
Bina's Kitchen By Indriya Foods,3.7,,10% OFF,49 min,South Indian,₹100 for one,175+ orders placed from here recently
Apupa,-,,20% OFF,42 min,"Bakery, Desserts, Fast Food, Beverages, Shake",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Pavizham Restaurant,3.7,,20% OFF,45 min,"South Indian, North Indian, Chinese",₹100 for one,1150+ orders placed from here recently
Diner's Park,4.1,,Flat 20% OFF,59 min,"Fast Food, Tamil, Chinese, North Indian, Seafood, Shake",₹100 for one,75+ orders placed from here recently
Shakespeer & Yumla,4.3,,40% OFF,51 min,"Burger, Fast Food, Beverages, Shake",₹100 for one,125+ orders placed from here recently
Ifthar Hot Kitchen,New,,40% OFF,43 min,"Kerala, South Indian, Chinese, Seafood",₹100 for one,75+ orders placed from here recently
Briyani Crushh,4.0,,50% OFF,42 min,"Biryani, North Indian, Lebanese, Beverages, Shake",₹100 for one,
Kovai SM Fast Food & Biriyani,4.4,,,32 min,"South Indian, Chinese, Biryani",₹100 for one,50+ orders placed from here recently
Dot Berrys,4.2,,50% OFF,45 min,"Cafe, Fast Food, Bakery, Beverages, Shake",₹100 for one,100+ orders placed from here recently
The Budapest Bakehouse,4.0,,10% OFF,38 min,"Desserts, Fast Food, Beverages",₹100 for one,150+ orders placed from here recently
Eat Italiano,3.3,,40% OFF,43 min,"Italian, Mexican, Desserts",₹100 for one,300+ orders placed from here recently
Mom's Chicken,4.2,,,43 min,"Burger, Sandwich, Wraps, Fast Food, Beverages, Shake",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Pizza Craft,New,,50% OFF,58 min,"Italian, Fast Food, Pizza, Burger, Beverages",₹200 for one,50+ orders placed from here recently
Pizza 997 AD,3.8,,30% OFF,40 min,Pizza,₹200 for one,50+ orders placed from here recently
Express By ABs,3.2,Pro extra 10% OFF,60% OFF,43 min,"North Indian, Biryani",₹200 for one,175+ orders placed from here recently
Thinaiyamuthu Restaurant,4.0,,,53 min,"North Indian, South Indian, Continental, Fast Food, Chinese, Beverages, Desserts, Shake",₹200 for one,50+ orders placed from here recently
Biryani Dekshaaa,3.2,,20% OFF,42 min,"Chettinad, Biryani",₹200 for one,
Bellyfull Restocafe,4.1,,Flat 15% OFF,45 min,"Fast Food, Shake",₹200 for one,50+ orders placed from here recently
Kongunadu Virundhu,3.9,,50% OFF,45 min,"South Indian, Biryani",₹200 for one,Follows all Max Safety measures to ensure your food is safe
Sree Vigneshwara Sweets And Bakes,-,,,36 min,"Bakery, Mithai, Fast Food, Desserts",₹200 for one,
Ice Max,-,,,49 min,"Beverages, Ice Cream, Desserts",₹200 for one,
Corner@58- The Food Place,4.0,,,34 min,"Beverages, Desserts, Shake",₹200 for one,
Dosagram,3.4,,20% OFF,66 min,South Indian,₹200 for one,75+ orders placed from here recently
K.R. Bakes & Restaurant,-,,,47 min,"Bakery, South Indian",₹200 for one,75+ orders placed from here recently
Eyargai Biriyani Mess,3.4,,Pro extra 30% OFF,49 min,"South Indian, Chinese, Biryani",₹50 for one,
Hotel Irani,3.0,,20% OFF,39 min,"North Indian, Mughlai, South Indian",₹50 for one,
The Beeda Specialist,4.4,,30% OFF,39 min,Paan,₹50 for one,100+ orders placed from here recently
Nanjai Virundhu,3.0,,,52 min,"South Indian, Tamil",₹50 for one,
Biryani House,-,,,59 min,"Biryani, Chinese, South Indian",₹50 for one,
Bombay Kulfi,4.2,,20% OFF,37 min,"Desserts, Ice Cream",₹50 for one,50+ orders placed from here recently
Kaapi Express,4.0,,Flat 20% OFF,36 min,"Tea, Continental, Beverages, North Indian, Desserts",₹50 for one,300+ orders placed from here recently
Sidh's Cafe,3.7,,,47 min,"Fast Food, Sandwich, Desserts, Juices, Beverages, Shake",₹50 for one,Restaurant partner follows WHO protocol
Char Grills,3.6,Pro extra 25% OFF,30% OFF,46 min,"Chinese, Kebab, BBQ",₹50 for one,50+ orders placed from here recently
Ayyanar Mess,-,,₹100 OFF,52 min,Chettinad,₹50 for one,50+ orders placed from here recently
Rahman Briyani,New,,,40 min,"Biryani, Chinese, BBQ",₹50 for one,
